"Name","Genes (tot)","Stat (dist.dir.up)","p (dist.dir.up)","p adj (dist.dir.up)","Stat (dist.dir.dn)","p (dist.dir.dn)","p adj (dist.dir.dn)","Stat (non-dir.)","p (non-dir.)","p adj (non-dir.)","Genes (up)","Stat (mix.dir.up)","p (mix.dir.up)","p adj (mix.dir.up)","Genes (down)","Stat (mix.dir.dn)","p (mix.dir.dn)","p adj (mix.dir.dn)"
"L-methionine salvage from methylthioadenosine [GO:0019509]",4,1e-100,0.00019998,0.0080992,1,1,1,1e-100,0.016998,0.097354,4,1e-100,0.050795,0.86351,0,NA,NA,NA
"L-methionine salvage from S-adenosylmethionine [GO:0019284]",3,1e-100,0.00029997,0.0080992,1,1,1,1e-100,0.046895,0.15281,3,1e-100,0.10769,0.92395,0,NA,NA,NA
"purine ribonucleoside salvage [GO:0006166]",4,0.75,0.29207,0.95175,0.25,0.70803,1,2.3386e-06,0.15108,0.45325,1,1e-100,0.48305,0.92395,3,3.1181e-06,0.23948,0.68849
"AMP metabolic process [GO:0046033]",4,0.98553,0.64244,1,0.014466,0.35766,0.75109,0.028933,0.60314,0.93437,0,NA,NA,NA,4,0.028933,0.67393,1
"phosphatidylcholine biosynthetic process [GO:0006656]",5,1,0.9744,1,1.8325e-08,0.026097,0.17616,3.6651e-08,0.065693,0.21044,0,NA,NA,NA,5,3.6651e-08,0.067093,0.2469
"signal transduction [GO:0007165]",3,0.84051,0.38886,1,0.15949,0.61124,0.93447,0.31898,0.9795,0.9999,0,NA,NA,NA,3,0.31898,0.9939,1
"ADP biosynthetic process [GO:0006172]",3,0.99516,0.65143,1,0.0048433,0.34867,0.74042,0.0096865,0.52255,0.89524,0,NA,NA,NA,3,0.0096865,0.56464,0.98014
"'de novo' AMP biosynthetic process [GO:0044208]",3,1,1,1,1e-100,0.064294,0.2695,1e-100,0.046895,0.15281,0,NA,NA,NA,3,1e-100,0.036996,0.13892
"'de novo' IMP biosynthetic process [GO:0006189]",13,1,1,1,1e-100,9.999e-05,0.0023623,1e-100,9.999e-05,0.0037796,0,NA,NA,NA,13,1e-100,9.999e-05,0.0018398
"glycine biosynthetic process, by transamination of glyoxylate [GO:0019265]",3,0.88999,0.40316,1,0.11001,0.59694,0.92477,0.22001,0.93961,0.9999,0,NA,NA,NA,3,0.22001,0.9691,1
"branched-chain amino acid biosynthetic process [GO:0009082]",4,1,1,1,1e-100,0.025997,0.17616,1e-100,0.016998,0.097354,0,NA,NA,NA,4,1e-100,0.014199,0.096761
"nucleotide catabolic process [GO:0009166]",4,0.92248,0.49355,1,0.077525,0.50655,0.8625,0.15505,0.90221,0.9999,0,NA,NA,NA,4,0.15505,0.94621,1
"pyrimidine nucleobase metabolic process [GO:0006206]",4,0.92248,0.49355,1,0.077525,0.50655,0.8625,0.15505,0.90221,0.9999,0,NA,NA,NA,4,0.15505,0.94621,1
"coenzyme A biosynthetic process [GO:0015937]",5,1e-100,9.999e-05,0.0062994,1,1,1,1e-100,0.0054995,0.037121,5,1e-100,0.023798,0.5057,0,NA,NA,NA
"peroxisome fission [GO:0016559]",6,0.97923,0.72363,1,0.020771,0.27647,0.67861,0.041541,0.59134,0.92366,0,NA,NA,NA,6,0.041541,0.70463,1
"amino acid biosynthetic process [GO:0008652]",7,1,1,1,1e-100,0.0021998,0.031981,1e-100,0.00069993,0.0082679,0,NA,NA,NA,7,1e-100,0.00049995,0.0057494
"aromatic amino acid family biosynthetic process [GO:0009073]",8,1,1,1,1e-100,0.0010999,0.017323,1e-100,0.00049995,0.0067493,0,NA,NA,NA,8,1e-100,0.00019998,0.0028305
"glutamine metabolic process [GO:0006541]",11,0.98275,0.89031,1,0.017248,0.10979,0.39151,0.034496,0.46765,0.88481,0,NA,NA,NA,11,0.034496,0.60174,0.99397
"isocitrate metabolic process [GO:0006102]",3,1,1,1,1e-100,0.064294,0.2695,1e-100,0.046895,0.15281,0,NA,NA,NA,3,1e-100,0.036996,0.13892
"citrulline biosynthetic process [GO:0019240]",3,1,1,1,1e-100,0.064294,0.2695,1e-100,0.046895,0.15281,0,NA,NA,NA,3,1e-100,0.036996,0.13892
"UTP biosynthetic process [GO:0006228]",11,0.97901,0.87801,1,0.020987,0.12209,0.41407,0.041974,0.52235,0.89524,0,NA,NA,NA,11,0.041974,0.67123,1
"pyrimidine nucleotide biosynthetic process [GO:0006221]",4,1,1,1,1e-100,0.025997,0.17616,1e-100,0.016998,0.097354,0,NA,NA,NA,4,1e-100,0.014199,0.096761
"'de novo' UMP biosynthetic process [GO:0044205]",5,1,1,1,1e-100,0.009999,0.092026,1e-100,0.0054995,0.037121,0,NA,NA,NA,5,1e-100,0.0047995,0.038396
"mitotic nuclear membrane biogenesis [GO:0101026]",3,1,1,1,1e-100,0.064294,0.2695,1e-100,0.046895,0.15281,0,NA,NA,NA,3,1e-100,0.036996,0.13892
"homoserine biosynthetic process [GO:0009090]",3,1,1,1,1e-100,0.064294,0.2695,1e-100,0.046895,0.15281,0,NA,NA,NA,3,1e-100,0.036996,0.13892
"fatty acid elongation, monounsaturated fatty acid [GO:0034625]",7,1,0.9891,1,1.1611e-07,0.010999,0.092026,2.3222e-07,0.030297,0.14682,0,NA,NA,NA,7,2.3222e-07,0.027597,0.13892
"fatty acid elongation, polyunsaturated fatty acid [GO:0034626]",7,1,0.9891,1,1.1611e-07,0.010999,0.092026,2.3222e-07,0.030297,0.14682,0,NA,NA,NA,7,2.3222e-07,0.027597,0.13892
"fatty acid elongation, saturated fatty acid [GO:0019367]",7,1,0.9891,1,1.1611e-07,0.010999,0.092026,2.3222e-07,0.030297,0.14682,0,NA,NA,NA,7,2.3222e-07,0.027597,0.13892
"sphingolipid biosynthetic process [GO:0030148]",17,1,1,1,9.562e-08,9.999e-05,0.0023623,1.9124e-07,0.00039996,0.0062994,0,NA,NA,NA,17,1.9124e-07,0.00029997,0.0036796
"very long-chain fatty acid biosynthetic process [GO:0042761]",24,1,1,1,1.016e-07,9.999e-05,0.0023623,2.0319e-07,9.999e-05,0.0037796,0,NA,NA,NA,24,2.0319e-07,0.00019998,0.0028305
"fatty acid elongation [GO:0030497]",17,1,1,1,9.562e-08,9.999e-05,0.0023623,1.9124e-07,0.00039996,0.0062994,0,NA,NA,NA,17,1.9124e-07,0.00029997,0.0036796
"mitochondrion inheritance [GO:0000001]",3,1,1,1,1e-100,0.064294,0.2695,1e-100,0.046895,0.15281,0,NA,NA,NA,3,1e-100,0.036996,0.13892
"unsaturated fatty acid biosynthetic process [GO:0006636]",3,1,1,1,1e-100,0.064294,0.2695,1e-100,0.046895,0.15281,0,NA,NA,NA,3,1e-100,0.036996,0.13892
"long-chain fatty acid metabolic process [GO:0001676]",28,0.86096,0.57164,1,0.13904,0.42846,0.80132,0.13693,0.995,0.9999,3,0.34129,0.90881,1,25,0.11241,0.9946,1
