"Name","Genes (tot)","Stat (dist.dir.up)","p (dist.dir.up)","p adj (dist.dir.up)","Stat (dist.dir.dn)","p (dist.dir.dn)","p adj (dist.dir.dn)","Stat (non-dir.)","p (non-dir.)","p adj (non-dir.)","Genes (up)","Stat (mix.dir.up)","p (mix.dir.up)","p adj (mix.dir.up)","Genes (down)","Stat (mix.dir.dn)","p (mix.dir.dn)","p adj (mix.dir.dn)"
"peroxisome organization [GO:0007031]",12,0.62124,0.20128,0.63507,0.37876,0.79882,1,0.40229,0.9971,0.9999,6,0.64476,0.9982,0.9993,6,0.15982,0.67093,0.99503
"mitochondrial citrate transmembrane transport [GO:0006843]",3,0.33333,0.057494,0.3394,0.66667,0.9528,1,1e-100,0.044296,0.14475,2,1e-100,0.077692,0.4223,1,1e-100,0.36796,0.75473
"mitochondrial genome maintenance [GO:0000002]",6,0.72174,0.49715,0.95767,0.27826,0.50305,1,0.11014,0.38646,0.76872,2,0.33042,0.65413,0.9993,4,1e-100,0.019198,0.12443
"arginine biosynthetic process [GO:0006526]",6,1,1,1,1e-100,0.0017998,0.047052,1e-100,0.0010999,0.01258,0,NA,NA,NA,6,1e-100,0.0027997,0.037689
"arginine biosynthetic process via ornithine [GO:0042450]",3,1,1,1,1e-100,0.050595,0.27695,1e-100,0.044296,0.14475,0,NA,NA,NA,3,1e-100,0.047895,0.17462
"proline catabolic process to glutamate [GO:0010133]",3,1.2304e-92,0.00039996,0.073193,1,1,1,2.4607e-92,0.050195,0.15724,3,2.4607e-92,0.026097,0.4223,0,NA,NA,NA
"fatty acid beta-oxidation using acyl-CoA oxidase [GO:0033540]",18,0.70685,0.45065,0.91633,0.29315,0.54945,1,0.2326,0.88771,0.9999,5,0.36334,0.82212,0.9993,13,0.18231,0.80542,1
"lipid homeostasis [GO:0055088]",18,0.70685,0.45065,0.91633,0.29315,0.54945,1,0.2326,0.88771,0.9999,5,0.36334,0.82212,0.9993,13,0.18231,0.80542,1
"phosphate ion transmembrane transport [GO:0035435]",4,0.25,0.014799,0.15045,0.75,0.9864,1,7.8943e-53,0.025097,0.12086,3,1.0526e-52,0.031997,0.4223,1,1e-100,0.36796,0.75473
"phosphatidylinositol-mediated signaling [GO:0048015]",4,0.5266,0.19748,0.63507,0.4734,0.80262,1,0.45815,0.9694,0.9999,1,0.022691,0.52815,0.9993,3,0.6033,0.9935,1
"ergosterol metabolic process [GO:0008204]",10,0.80434,0.76452,1,0.19566,0.23558,0.62684,0.35945,0.9828,0.9999,1,0.84064,0.94441,0.9993,9,0.30598,0.9732,1
"purine ribonucleoside salvage [GO:0006166]",3,0.34372,0.075392,0.41809,0.65628,0.92471,1,0.038243,0.36196,0.72791,2,0.044263,0.31427,0.80534,1,0.026202,0.68553,0.99973
"AMP metabolic process [GO:0046033]",4,0.64547,0.34597,0.82059,0.35453,0.65413,1,0.36992,0.92041,0.9999,2,0.66085,0.9539,0.9993,2,0.078985,0.62834,0.97377
"phosphatidylcholine biosynthetic process [GO:0006656]",5,1,0.9924,1,7.3275e-16,0.0080992,0.13474,1.4798e-15,0.026397,0.12229,0,NA,NA,NA,5,1.4798e-15,0.033897,0.17462
"signal transduction [GO:0007165]",3,0.74949,0.56604,1,0.25051,0.43406,0.9528,0.2369,0.70413,0.9999,1,0.60382,0.82842,0.9993,2,0.053438,0.56714,0.9386
"ADP biosynthetic process [GO:0006172]",3,0.55362,0.22168,0.66503,0.44638,0.77842,1,0.44056,0.94351,0.9999,2,0.66085,0.9539,0.9993,1,3.3661e-19,0.47775,0.87491
"'de novo' AMP biosynthetic process [GO:0044208]",3,1,1,1,1e-100,0.050595,0.27695,1e-100,0.044296,0.14475,0,NA,NA,NA,3,1e-100,0.047895,0.17462
"'de novo' IMP biosynthetic process [GO:0006189]",13,0.84615,0.89121,1,0.15385,0.10889,0.43766,1e-100,9.999e-05,0.0045745,2,1e-100,0.077692,0.4223,11,1e-100,9.999e-05,0.0058328
"glycine biosynthetic process, by transamination of glyoxylate [GO:0019265]",3,0.33333,0.057494,0.3394,0.66667,0.9528,1,1e-100,0.044296,0.14475,2,1e-100,0.077692,0.4223,1,1e-100,0.36796,0.75473
"branched-chain amino acid biosynthetic process [GO:0009082]",4,1,1,1,1e-100,0.017898,0.20451,1e-100,0.015798,0.082603,0,NA,NA,NA,4,1e-100,0.019198,0.12443
"nucleotide catabolic process [GO:0009166]",4,0.18238,0.0066993,0.1112,0.81762,0.9934,1,0.34855,0.90551,0.9999,3,0.14221,0.34427,0.80534,1,0.96758,0.985,1
"pyrimidine nucleobase metabolic process [GO:0006206]",4,0.18238,0.0066993,0.1112,0.81762,0.9934,1,0.34855,0.90551,0.9999,3,0.14221,0.34427,0.80534,1,0.96758,0.985,1
"peroxisome fission [GO:0016559]",6,0.57663,0.19458,0.63507,0.42337,0.80552,1,0.4647,0.9916,0.9999,3,0.61796,0.9754,0.9993,3,0.31145,0.88161,1
"amino acid biosynthetic process [GO:0008652]",7,1,1,1,1e-100,0.00089991,0.032937,1e-100,0.00059994,0.0091491,0,NA,NA,NA,7,1e-100,0.00079992,0.013999
"aromatic amino acid family biosynthetic process [GO:0009073]",8,1,1,1,1e-100,0.00039996,0.018298,1e-100,0.00029997,0.0068618,0,NA,NA,NA,8,1e-100,0.00069993,0.01361
"glutamine metabolic process [GO:0006541]",11,0.73646,0.55884,1,0.26354,0.44126,0.9528,0.018383,0.027397,0.12229,3,0.067406,0.23258,0.74417,8,1e-100,0.00069993,0.01361
"isocitrate metabolic process [GO:0006102]",3,1,1,1,1e-100,0.050595,0.27695,1e-100,0.044296,0.14475,0,NA,NA,NA,3,1e-100,0.047895,0.17462
"citrulline biosynthetic process [GO:0019240]",3,1,1,1,1e-100,0.050595,0.27695,1e-100,0.044296,0.14475,0,NA,NA,NA,3,1e-100,0.047895,0.17462
"UTP biosynthetic process [GO:0006228]",11,0.89656,0.94431,1,0.10344,0.055794,0.27695,0.18255,0.66653,0.9999,1,0.86621,0.9556,0.9993,10,0.11419,0.50725,0.9058
"pyrimidine nucleotide biosynthetic process [GO:0006221]",4,1,1,1,1e-100,0.017898,0.20451,1e-100,0.015798,0.082603,0,NA,NA,NA,4,1e-100,0.019198,0.12443
"'de novo' UMP biosynthetic process [GO:0044205]",5,1,1,1,1e-100,0.0074993,0.13474,1e-100,0.0051995,0.039646,0,NA,NA,NA,5,1e-100,0.0079992,0.082345
"mitotic nuclear membrane biogenesis [GO:0101026]",3,0.67423,0.46755,0.92873,0.32577,0.53255,1,0.015339,0.28647,0.61676,1,0.04569,0.53895,0.9993,2,0.00016352,0.38836,0.75473
"homoserine biosynthetic process [GO:0009090]",3,1,1,1,1e-100,0.050595,0.27695,1e-100,0.044296,0.14475,0,NA,NA,NA,3,1e-100,0.047895,0.17462
"fatty acid elongation, monounsaturated fatty acid [GO:0034625]",7,0.85111,0.80802,1,0.14889,0.19208,0.58829,0.29779,0.90641,0.9999,0,NA,NA,NA,7,0.29779,0.9509,1
"fatty acid elongation, polyunsaturated fatty acid [GO:0034626]",7,0.85111,0.80802,1,0.14889,0.19208,0.58829,0.29779,0.90641,0.9999,0,NA,NA,NA,7,0.29779,0.9509,1
"fatty acid elongation, saturated fatty acid [GO:0019367]",7,0.85111,0.80802,1,0.14889,0.19208,0.58829,0.29779,0.90641,0.9999,0,NA,NA,NA,7,0.29779,0.9509,1
"sphingolipid biosynthetic process [GO:0030148]",17,0.82326,0.88291,1,0.17674,0.11719,0.43766,0.35349,0.9973,0.9999,0,NA,NA,NA,17,0.35349,0.9991,1
"very long-chain fatty acid biosynthetic process [GO:0042761]",24,0.83138,0.93641,1,0.16862,0.063694,0.2914,0.33724,0.9994,0.9999,0,NA,NA,NA,24,0.33724,1,1
"fatty acid elongation [GO:0030497]",17,0.82326,0.88291,1,0.17674,0.11719,0.43766,0.35349,0.9973,0.9999,0,NA,NA,NA,17,0.35349,0.9991,1
"mitochondrion inheritance [GO:0000001]",3,0.43184,0.13149,0.49267,0.56816,0.86861,1,0.19702,0.65523,0.9999,2,0.29553,0.62404,0.9993,1,1e-100,0.36796,0.75473
"unsaturated fatty acid biosynthetic process [GO:0006636]",3,0.43184,0.13149,0.49267,0.56816,0.86861,1,0.19702,0.65523,0.9999,2,0.29553,0.62404,0.9993,1,1e-100,0.36796,0.75473
"long-chain fatty acid metabolic process [GO:0001676]",28,0.80099,0.88521,1,0.19901,0.11489,0.43766,0.26542,0.9794,0.9999,4,0.53589,0.9626,0.9993,24,0.22034,0.9602,1
"long-chain fatty-acyl-CoA metabolic process [GO:0035336]",18,0.77851,0.74833,1,0.22149,0.25177,0.64894,0.25442,0.93431,0.9999,3,0.43431,0.85871,0.9993,15,0.21845,0.92471,1
