"Name","Genes (tot)","Stat (dist.dir.up)","p (dist.dir.up)","p adj (dist.dir.up)","Stat (dist.dir.dn)","p (dist.dir.dn)","p adj (dist.dir.dn)","Stat (non-dir.)","p (non-dir.)","p adj (non-dir.)","Genes (up)","Stat (mix.dir.up)","p (mix.dir.up)","p adj (mix.dir.up)","Genes (down)","Stat (mix.dir.dn)","p (mix.dir.dn)","p adj (mix.dir.dn)"
"signal transduction [GO:0007165]",3,0.75579,0.77872,1,0.24421,0.22138,0.62326,0.30938,0.87411,1,1,0.73144,0.93481,1,2,0.098346,0.63824,0.9796
"ADP biosynthetic process [GO:0006172]",3,0.57227,0.45685,0.87088,0.42773,0.54325,1,0.47788,0.9664,1,2,0.71682,0.9853,1,1,1e-100,0.47195,0.88686
"'de novo' AMP biosynthetic process [GO:0044208]",3,1,1,1,1e-100,0.030397,0.16361,1e-100,0.042896,0.157,0,NA,NA,NA,3,1e-100,0.10669,0.43438
"'de novo' IMP biosynthetic process [GO:0006189]",13,0.86904,0.994,1,0.13096,0.0060994,0.079728,0.045779,0.086191,0.23899,2,0.29757,0.71633,1,11,1e-100,0.00039996,0.019948
"glycine biosynthetic process, by transamination of glyoxylate [GO:0019265]",3,0.42839,0.32777,0.76899,0.57161,0.67233,1,0.19012,0.65243,0.973,2,0.28517,0.70623,1,1,2.2263e-43,0.48005,0.89227
"branched-chain amino acid biosynthetic process [GO:0009082]",4,1,1,1,1e-100,0.010199,0.10369,1e-100,0.014099,0.099232,0,NA,NA,NA,4,1e-100,0.045295,0.30982
"nucleotide catabolic process [GO:0009166]",4,0.15173,0.034597,0.17587,0.84827,0.9655,1,0.30345,0.89051,1,4,0.30345,0.83422,1,0,NA,NA,NA
"pyrimidine nucleobase metabolic process [GO:0006206]",4,0.15173,0.034597,0.17587,0.84827,0.9655,1,0.30345,0.89051,1,4,0.30345,0.83422,1,0,NA,NA,NA
"peroxisome fission [GO:0016559]",6,0.18736,0.022998,0.14934,0.81264,0.9771,1,0.041386,0.21778,0.49817,5,0.049663,0.19778,0.60462,1,2.4927e-07,0.61334,0.9796
"amino acid biosynthetic process [GO:0008652]",7,1,1,1,1e-100,0.00029997,0.013724,1e-100,0.0010999,0.019823,0,NA,NA,NA,7,1e-100,0.0041996,0.065284
"aromatic amino acid family biosynthetic process [GO:0009073]",8,1,1,1,1e-100,0.00049995,0.015248,1e-100,0.00029997,0.0091491,0,NA,NA,NA,8,1e-100,0.0027997,0.053195
"glutamine metabolic process [GO:0006541]",11,0.72738,0.88601,1,0.27262,0.11409,0.40755,0.0002168,0.0043996,0.053675,3,0.00079495,0.15598,0.57993,8,1e-100,0.0027997,0.053195
"isocitrate metabolic process [GO:0006102]",3,0.66667,0.65323,1,0.33333,0.39926,0.92487,1e-100,0.042896,0.157,1,1e-100,0.19878,0.60462,2,1e-100,0.21768,0.6309
"citrulline biosynthetic process [GO:0019240]",3,1,1,1,1e-100,0.030397,0.16361,1e-100,0.042896,0.157,0,NA,NA,NA,3,1e-100,0.10669,0.43438
"UTP biosynthetic process [GO:0006228]",11,0.77267,0.93981,1,0.22733,0.060294,0.25046,0.11768,0.44136,0.79968,2,0.073293,0.49965,0.94739,9,0.12754,0.62444,0.9796
"pyrimidine nucleotide biosynthetic process [GO:0006221]",4,1,1,1,1e-100,0.010199,0.10369,1e-100,0.014099,0.099232,0,NA,NA,NA,4,1e-100,0.045295,0.30982
"'de novo' UMP biosynthetic process [GO:0044205]",5,1,1,1,1e-100,0.0032997,0.05032,1e-100,0.0056994,0.054895,0,NA,NA,NA,5,1e-100,0.025597,0.23038
"mitotic nuclear membrane biogenesis [GO:0101026]",3,0.33333,0.17648,0.53827,0.66667,0.84902,1,1e-100,0.042896,0.157,2,1e-100,0.042496,0.22158,1,1e-100,0.47195,0.88686
"homoserine biosynthetic process [GO:0009090]",3,1,1,1,1e-100,0.030397,0.16361,1e-100,0.042896,0.157,0,NA,NA,NA,3,1e-100,0.10669,0.43438
"fatty acid elongation, monounsaturated fatty acid [GO:0034625]",7,0.53962,0.42346,0.86059,0.46038,0.57664,1,0.37792,0.9826,1,4,0.52502,0.9861,1,3,0.18179,0.71623,0.9796
"fatty acid elongation, polyunsaturated fatty acid [GO:0034626]",7,0.53962,0.42346,0.86059,0.46038,0.57664,1,0.37792,0.9826,1,4,0.52502,0.9861,1,3,0.18179,0.71623,0.9796
"fatty acid elongation, saturated fatty acid [GO:0019367]",7,0.53962,0.42346,0.86059,0.46038,0.57664,1,0.37792,0.9826,1,4,0.52502,0.9861,1,3,0.18179,0.71623,0.9796
"sphingolipid biosynthetic process [GO:0030148]",17,0.48787,0.22548,0.62519,0.51213,0.77462,1,0.39818,0.9999,1,11,0.51621,0.9999,1,6,0.18179,0.79512,0.98526
"very long-chain fatty acid biosynthetic process [GO:0042761]",24,0.50296,0.23208,0.63036,0.49704,0.76802,1,0.39227,0.9999,1,15,0.51856,1,1,9,0.18179,0.82662,1
"fatty acid elongation [GO:0030497]",17,0.48787,0.22548,0.62519,0.51213,0.77462,1,0.39818,0.9999,1,11,0.51621,0.9999,1,6,0.18179,0.79512,0.98526
"mitochondrion inheritance [GO:0000001]",3,0.66667,0.65323,1,0.33333,0.39926,0.92487,1e-100,0.042896,0.157,1,1e-100,0.19878,0.60462,2,1e-100,0.21768,0.6309
"unsaturated fatty acid biosynthetic process [GO:0006636]",3,0.66667,0.65323,1,0.33333,0.39926,0.92487,1e-100,0.042896,0.157,1,1e-100,0.19878,0.60462,2,1e-100,0.21768,0.6309
"long-chain fatty acid metabolic process [GO:0001676]",28,0.34255,0.0030997,0.033367,0.65745,0.997,1,0.096996,0.20338,0.47716,19,0.1026,0.14059,0.54015,9,0.085176,0.41246,0.88686
"long-chain fatty-acyl-CoA metabolic process [GO:0035336]",18,0.45421,0.14279,0.46837,0.54579,0.85731,1,0.038579,0.034297,0.157,10,0.052297,0.073393,0.33485,8,0.021431,0.15118,0.55369
"long-chain fatty acid import into cell [GO:0044539]",10,0.14156,0.0014999,0.032022,0.85844,0.9986,1,0.20215,0.79882,1,9,0.15848,0.47195,0.94739,1,0.59513,0.92981,1
"long-chain fatty acid import into peroxisome [GO:0015910]",11,0.19323,0.0024998,0.032022,0.80677,0.9976,1,0.18743,0.76342,1,9,0.12849,0.35206,0.82841,2,0.45263,0.94781,1
"very long-chain fatty acid catabolic process [GO:0042760]",11,0.19323,0.0024998,0.032022,0.80677,0.9976,1,0.18743,0.76342,1,9,0.12849,0.35206,0.82841,2,0.45263,0.94781,1
"acyl-CoA metabolic process [GO:0006637]",10,0.12112,0.0010999,0.028754,0.87888,0.999,1,0.042246,0.11829,0.30488,9,0.046938,0.081592,0.34035,1,2.065e-05,0.63554,0.9796
"fatty acid catabolic process [GO:0009062]",11,0.20102,0.0026997,0.032022,0.79898,0.9974,1,0.038406,0.092191,0.2518,9,0.046938,0.081592,0.34035,2,1.0325e-05,0.39686,0.88686
"L-histidine biosynthetic process [GO:0000105]",9,1,1,1,1e-100,9.999e-05,0.0060994,1e-100,9.999e-05,0.0045745,0,NA,NA,NA,9,1e-100,0.00069993,0.019948
"protein glycosylation [GO:0006486]",11,0.58423,0.54465,0.98182,0.41577,0.45545,1,0.29901,0.9732,1,4,0.26777,0.77932,1,7,0.31687,0.9795,1
"phosphatidic acid biosynthetic process [GO:0006654]",3,0.33333,0.18138,0.54415,0.66667,0.81972,1,4.1812e-09,0.13549,0.34436,2,6.2717e-09,0.15888,0.57993,1,1e-100,0.47195,0.88686
"cardiolipin biosynthetic process [GO:0032049]",3,0.56078,0.44186,0.86059,0.43922,0.55824,1,0.45488,0.96,1,2,0.68233,0.9813,1,1,1e-100,0.47195,0.88686
"carnitine metabolic process [GO:0009437]",3,0.0016478,0.017498,0.1186,0.99835,0.9826,1,0.0032957,0.26247,0.56509,3,0.0032957,0.17978,0.60462,0,NA,NA,NA
"hydrogen peroxide catabolic process [GO:0042744]",5,0.42765,0.25967,0.66,0.57235,0.74043,1,0.076729,0.37536,0.73076,3,0.11003,0.45435,0.94739,2,0.026777,0.55454,0.9796
"phospholipid biosynthetic process [GO:0008654]",4,0.75,0.80102,1,0.25,0.19908,0.59724,3.1359e-09,0.061894,0.19605,1,1.2543e-08,0.38586,0.88025,3,1.911e-16,0.18958,0.6309
"ceramide biosynthetic process [GO:0046513]",10,0.64883,0.71583,1,0.35117,0.28427,0.75394,0.50743,1,1,4,0.75636,0.9999,1,6,0.34148,0.9797,1
"plasma membrane organization [GO:0007009]",5,0.8286,0.92191,1,0.1714,0.078192,0.29202,0.34279,0.9504,1,0,NA,NA,NA,5,0.34279,0.9681,1
"chitin biosynthetic process [GO:0006031]",3,1,1,1,1e-100,0.030397,0.16361,1e-100,0.042896,0.157,0,NA,NA,NA,3,1e-100,0.10669,0.43438
"phosphatidylethanolamine biosynthetic process [GO:0006646]",5,0.99673,0.9882,1,0.0032679,0.011899,0.1146,0.0065357,0.14259,0.35261,0,NA,NA,NA,5,0.0065357,0.19458,0.6309
"chorismate biosynthetic process [GO:0009423]",6,1,1,1,1e-100,0.00089991,0.020585,1e-100,0.0012999,0.019823,0,NA,NA,NA,6,1e-100,0.010299,0.11741
