"Name","Genes (tot)","Stat (dist.dir.up)","p (dist.dir.up)","p adj (dist.dir.up)","Stat (dist.dir.dn)","p (dist.dir.dn)","p adj (dist.dir.dn)","Stat (non-dir.)","p (non-dir.)","p adj (non-dir.)","Genes (up)","Stat (mix.dir.up)","p (mix.dir.up)","p adj (mix.dir.up)","Genes (down)","Stat (mix.dir.dn)","p (mix.dir.dn)","p adj (mix.dir.dn)"
"FMN binding [GO:0010181]",23,0.51017,0.44096,1,0.48983,0.55914,0.87195,0.87843,0.15308,0.64241,10,0.88358,0.17268,0.93381,13,0.87447,0.25227,0.75042
"aspartic-type endopeptidase activity [GO:0004190]",8,0.50637,0.38656,1,0.49363,0.61354,0.9111,0.85707,0.066593,0.49198,4,0.86981,0.15288,0.93336,4,0.84433,0.10519,0.58654
"proteolysis [GO:0006508]",77,0.52053,0.89041,1,0.47947,0.10969,0.45305,0.88776,0.25847,0.79662,27,0.8985,0.40046,1,50,0.88196,0.32297,0.82609
"sister chromatid cohesion [GO:0007062]",5,0.51231,0.50025,1,0.48769,0.49985,0.83527,0.91736,0.80802,0.98769,2,0.92748,0.72333,1,3,0.91062,0.74023,0.98981
"mitotic sister chromatid cohesion [GO:0007064]",7,0.50136,0.32857,1,0.49864,0.67153,0.9434,0.94099,0.9813,0.99736,4,0.95075,0.9546,1,3,0.92798,0.86251,0.99883
"phosphatidylinositol-3-phosphate binding [GO:0032266]",18,0.4768,0.0056994,0.16512,0.5232,0.9944,1,0.91162,0.90161,0.99351,11,0.88973,0.26317,1,7,0.94601,0.9958,0.99883
"bounding membrane of organelle [GO:0098588]",10,0.51948,0.64174,1,0.48052,0.35836,0.72521,0.89869,0.61344,0.9453,4,0.92207,0.75022,1,6,0.8831,0.44616,0.91369
"hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]",22,0.51392,0.54875,1,0.48608,0.45135,0.7961,0.88626,0.31697,0.84696,12,0.92125,0.87321,1,10,0.84427,0.028897,0.37851
"hydrolase activity, acting on glycosyl bonds [GO:0016798]",26,0.52591,0.88211,1,0.47409,0.11799,0.46956,0.88438,0.26467,0.80498,11,0.9246,0.89451,1,15,0.85489,0.038996,0.40599
"polysaccharide catabolic process [GO:0000272]",8,0.4857,0.11129,0.77168,0.5143,0.88881,1,0.94169,0.9881,0.99736,6,0.94206,0.9549,1,2,0.94061,0.89061,0.99883
"carbohydrate metabolic process [GO:0005975]",41,0.51779,0.72613,1,0.48221,0.27397,0.63616,0.86939,0.014299,0.24608,17,0.88541,0.13959,0.91981,24,0.85805,0.024898,0.37851
