"Name","Genes (tot)","Stat (dist.dir.up)","p (dist.dir.up)","p adj (dist.dir.up)","Stat (dist.dir.dn)","p (dist.dir.dn)","p adj (dist.dir.dn)","Stat (non-dir.)","p (non-dir.)","p adj (non-dir.)","Genes (up)","Stat (mix.dir.up)","p (mix.dir.up)","p adj (mix.dir.up)","Genes (down)","Stat (mix.dir.dn)","p (mix.dir.dn)","p adj (mix.dir.dn)"
"forked DNA-dependent helicase activity [GO:0061749]",13,0.6111,0.69163,1,0.3889,0.30847,0.6992,0.56562,0.9829,0.9995,5,0.72416,0.9906,0.9993,8,0.46653,0.83132,0.9998
"single-stranded 3'-5' DNA helicase activity [GO:1990518]",13,0.6111,0.69163,1,0.3889,0.30847,0.6992,0.56562,0.9829,0.9995,5,0.72416,0.9906,0.9993,8,0.46653,0.83132,0.9998
"double-strand break repair via break-induced replication [GO:0000727]",9,0.41503,0.092191,0.71119,0.58497,0.90791,1,0.69808,0.9995,0.9995,6,0.6461,0.9743,0.9993,3,0.80203,0.994,0.9998
"DNA replication [GO:0006260]",36,0.4425,0.013299,0.31538,0.5575,0.9868,1,0.48476,0.9776,0.9995,20,0.43279,0.62624,0.9993,16,0.54973,0.9916,0.9998
"pre-replicative complex assembly involved in nuclear cell cycle DNA replication [GO:0006267]",6,0.48362,0.26597,0.9575,0.51638,0.73413,1,0.76928,0.9989,0.9995,3,0.73652,0.97,0.9993,3,0.80203,0.994,0.9998
"DNA unwinding involved in DNA replication [GO:0006268]",6,0.48362,0.26597,0.9575,0.51638,0.73413,1,0.76928,0.9989,0.9995,3,0.73652,0.97,0.9993,3,0.80203,0.994,0.9998
"DNA replication initiation [GO:0006270]",11,0.52457,0.35066,1,0.47543,0.64944,0.9694,0.60616,0.992,0.9995,5,0.62082,0.94261,0.9993,6,0.59394,0.9678,0.9998
"premeiotic DNA replication [GO:0006279]",9,0.50912,0.30957,0.99147,0.49088,0.69053,1,0.61598,0.9912,0.9995,4,0.5885,0.88211,0.9993,5,0.63796,0.9808,0.9998
"transcription elongation by RNA polymerase II [GO:0006368]",20,0.5894,0.63124,1,0.4106,0.36886,0.75199,0.39194,0.50335,0.9995,7,0.38677,0.42106,0.9993,13,0.39473,0.59524,0.9998
"heterochromatin formation [GO:0031507]",11,0.62972,0.74863,1,0.37028,0.25147,0.63421,0.42117,0.64964,0.9995,3,0.41443,0.51965,0.9993,8,0.42369,0.69763,0.9998
