"Name","Genes (tot)","Stat (dist.dir.up)","p (dist.dir.up)","p adj (dist.dir.up)","Stat (dist.dir.dn)","p (dist.dir.dn)","p adj (dist.dir.dn)","Stat (non-dir.)","p (non-dir.)","p adj (non-dir.)","Genes (up)","Stat (mix.dir.up)","p (mix.dir.up)","p adj (mix.dir.up)","Genes (down)","Stat (mix.dir.dn)","p (mix.dir.dn)","p adj (mix.dir.dn)"
"cell wall organization [GO:0071555]",20,0.59544,0.58204,1,0.40456,0.41806,0.77997,0.30821,0.52305,1,9,0.44345,0.86831,1,11,0.19757,0.12999,0.72933
"cell surface [GO:0009986]",9,0.50076,0.26807,0.90354,0.49924,0.73203,1,0.31972,0.56864,1,5,0.3891,0.67763,1,4,0.23298,0.37846,1
"fatty acid biosynthetic process [GO:0006633]",17,0.48722,0.15678,0.75315,0.51278,0.84332,1,0.28121,0.36436,0.99647,8,0.20912,0.10209,0.97759,9,0.34529,0.75342,1
"endoplasmic reticulum membrane [GO:0005789]",165,0.74237,1,1,0.25763,9.999e-05,0.0046723,0.24665,0.0015998,0.08656,36,0.38443,0.85341,1,129,0.2082,0.00029997,0.023398
"nucleosome binding [GO:0031491]",11,0.73572,0.92771,1,0.26428,0.072393,0.2736,0.45824,0.9578,1,1,0.6132,0.79902,1,10,0.44274,0.958,1
"dioxygenase activity [GO:0051213]",14,0.35701,0.014599,0.22346,0.64299,0.9855,1,0.17249,0.022498,0.33518,9,0.13395,0.0081992,0.27783,5,0.24187,0.39596,1
"FAD binding [GO:0071949]",16,0.57252,0.47525,1,0.42748,0.52485,0.88429,0.34479,0.70753,1,7,0.41694,0.77002,1,9,0.28866,0.53405,1
"nucleotide binding [GO:0000166]",26,0.41627,0.013799,0.22325,0.58373,0.9863,1,0.20681,0.024198,0.34549,16,0.21947,0.041496,0.7355,10,0.18656,0.10909,0.67449
"exonuclease activity [GO:0004527]",11,0.7152,0.89541,1,0.2848,0.10469,0.3395,0.27377,0.34927,0.99647,3,0.45763,0.77132,1,8,0.20482,0.20078,0.82425
"4 iron, 4 sulfur cluster binding [GO:0051539]",28,0.49018,0.10129,0.65227,0.50982,0.89881,1,0.34816,0.79442,1,15,0.37327,0.70143,1,13,0.31917,0.68533,1
"cell division site [GO:0032153]",37,0.7659,0.9993,1,0.2341,0.00079992,0.015418,0.19821,0.0038996,0.12932,6,0.16753,0.061894,0.82942,31,0.20414,0.032997,0.3709
"ubiquitin protein ligase activity [GO:0061630]",32,0.55002,0.33857,0.97178,0.44998,0.66153,1,0.42592,0.991,1,12,0.36795,0.66443,1,20,0.46071,0.9958,1
"protein ubiquitination [GO:0016567]",37,0.50635,0.12419,0.67449,0.49365,0.87591,1,0.37898,0.94211,1,16,0.29662,0.30257,1,21,0.44173,0.9935,1
"transaminase activity [GO:0008483]",20,0.37377,0.0062994,0.16045,0.62623,0.9938,1,0.2176,0.064794,0.5742,12,0.13762,0.0019998,0.15312,8,0.33758,0.72013,1
"pyridoxal phosphate binding [GO:0030170]",39,0.39982,0.0011999,0.053629,0.60018,0.9989,1,0.23753,0.051495,0.4957,23,0.18369,0.0020998,0.15312,16,0.31493,0.67843,1
"proteolysis involved in protein catabolic process [GO:0051603]",14,0.59578,0.56664,1,0.40422,0.43346,0.79823,0.40932,0.91081,1,6,0.53437,0.94841,1,8,0.31553,0.64404,1
"glutathione metabolic process [GO:0006749]",7,0.77856,0.92841,1,0.22144,0.071693,0.27347,0.16134,0.068693,0.6029,1,0.01461,0.030697,0.66138,6,0.1858,0.18428,0.79516
"cellular response to oxidative stress [GO:0034599]",39,0.36852,9.999e-05,0.017132,0.63148,1,1,0.26089,0.14979,0.76227,26,0.24844,0.052295,0.7627,13,0.28578,0.51745,1
