Entry;subSystem
"decane transport e--c";Transport, extracellular
"hexadecane transport e--c";Transport, extracellular
"alkane oxidase (C10)";Alkane metabolism
"long-chain alcohol dehydrogenase (C10)";Alkane metabolism
"alkane oxidase (C12)";Alkane metabolism
"long-chain alcohol dehydrogenase (C12)";Alkane metabolism
"alkane oxidase (C16)";Alkane metabolism
"long-chain alcohol dehydrogenase (C16)";Alkane metabolism
"oleoyl-CoA desaturase (n-C18:1CoA - n-C18:2CoA), ER membrane";Fatty acid elongation
"fatty-acid--CoA ligase (octadecadienoate), ER membrane";
"fatty-acid--CoA ligase (octadecadienoate), lipid particle";
"fatty-acid--CoA ligase (octadecadienoate), peroxisome";
"peroxisomal acyl-CoA thioesterase (18:2)";Fatty acid metabolism
"fatty acyl-CoA transport via ABC system (C18:2)";Transport, peroxisome
"isocitrate transport";Transport, extracellular
"octadecenoate (n-C18:1) transport";Transport, extracellular
"octadecenoate (n-C18:1) transport, cytoplasm-peroxisome";Transport, peroxisome
"linoleoyl-CoA transport, cytoplasm-ER membrane";Transport, ER membrane
"linoleoyl-CoA transport, cytoplasm-lipid particle";Transport, lipid particle
"linoleoyl-CoA transport, cytoplasm-mitochondrial membrane";Transport, mitochondrial membrane
"dodecane transport e--c";Transport, extracellular
"long-chain alcohol oxidase (C10)";Alkane metabolism
"long-chain alcohol oxidase (C12)";Alkane metabolism
"long-chain alcohol oxidase (C16)";Alkane metabolism
"long-chain aldehyde dehydrogenase (C10)";Alkane metabolism
"long-chain aldehyde dehydrogenase (C12)";Alkane metabolism
"long-chain aldehyde dehydrogenase (C16)";Alkane metabolism
"octadecenoate (n-C18:1) transport";Transport, lipid particle
"NADH dehydrogenase (complex I)";Oxidative phosphorylation
"Leucine transport";Transport, mitochondrion
"xanthine dehydrogenase";Purine metabolism
"urate oxidase";Purine metabolism
"hydroxyisourate hydrolase";Purine metabolism
"OHCU decarboxylase";Purine metabolism
"4-hydroxyphenylpyruvate dioxygenase";Phenylalanine, tyrosine and tryptophan biosynthesis
"homogentisate 1,2-dioxygenase";Phenylalanine, tyrosine and tryptophan biosynthesis
"maleylacetoacetate isomerase";Phenylalanine, tyrosine and tryptophan biosynthesis
"fumarylacetoacetase";Phenylalanine, tyrosine and tryptophan biosynthesis
"erythrose kinase";Pentose and glucuronate interconversions
"erythrose reductase";Pentose and glucuronate interconversions
"erythritol transport extracellular";Transport, extracellular
"arabinitol dehydrogenase";Pentose and glucuronate interconversions
"mannitol transport extracellular";Transport, extracellular
"4-methyl-2-oxopentanoate dehydrogenase";Valine, leucine and isoleucine degradation
"3-methyl-2-oxopentanoate dehydrogenase";Valine, leucine and isoleucine degradation
"(S)3-methyl-2-oxopentanoate dehydrogenase";Valine, leucine and isoleucine degradation
"3-methylbutanoyl-CoA dehydrogenase;";Valine, leucine and isoleucine degradation
"3-methylcrotonyl-CoA carboxylase";Valine, leucine and isoleucine degradation
"3-methylglutaconyl-CoA dehydratase";Valine, leucine and isoleucine degradation
"hydroxymethylglutaryl-CoA lyase";Synthesis and degradation of ketone bodies
"2-oxoadipate dehydrogenase";Lysine degradation
"glutaryl-CoA dehydrogenase";Fatty acid degradation
"FAD:ubiquinone oxidoreductase";Oxidative phosphorylation
"crotonyl-CoA hydratase";Lysine degradation
"(S)-3-Hydroxybutanoyl-CoA oxidoreductase";Lysine degradation
