Rxn name	Formula	Gene-reaction association	LB	UB	Objective
1080_REV	dUDP[nu] + ADP[nu] + 3.9818 prot_Q6C2B0[c] => dUMP[nu] + ATP[nu] 	YALI0F09339g	  0.00	1000.00	  0.00
1081	4 H+_p+1[c] + uroporphyrinogen III[c] + 0.23491 prot_Q6CDC5[c] => coproporphyrinogen III[c] + 4 carbon dioxide[c] 	YALI0C01716g	  0.00	1000.00	  0.00
1082	uroporphyrinogen III[c] + 2 S-adenosyl-L-methionine[c] + 0.43676 prot_Q6CI67[c] => H+_p+1[c] + 2 S-adenosyl-L-homocysteine[c] + precorrin-2[c] 	YALI0A01133g	  0.00	1000.00	  0.00
1083	preuroporphyrinogen[c] + 0.2196 prot_Q6C2A4[c] => uroporphyrinogen III[c] + H2O[c] 	YALI0F09449g	  0.00	1000.00	  0.00
1084	H+_p+1[c] + UTP[c] + D-glucose 1-phosphate[c] + 0.16543 prot_Q6CI26[c] => UDP-D-glucose[c] + diphosphate[c] 	YALI0A02310g	  0.00	1000.00	  0.00
1084_REV	UDP-D-glucose[c] + diphosphate[c] + 2.4343 prot_Q6CI26[c] => H+_p+1[c] + UTP[c] + D-glucose 1-phosphate[c] 	YALI0A02310g	  0.00	1000.00	  0.00
1085_EXP_1	H+_p+1[c] + ATP[c] + H2O[c] + 0.002753 prot_Q6C0I1[c] + 0.0065907 prot_Q6C1H5[c] + 0.0042314 prot_Q6C1K0[c] + 0.0027387 prot_Q6C3X5[c] + 0.0094993 prot_Q6C4E9[c] + 0.0023022 prot_Q6C5Q2[c] + 0.015474 prot_Q6C6F6[c] + 0.0081993 prot_Q6C6K9[c] + 0.0048077 prot_Q6CAR5[c] + 0.0071662 prot_Q6CH91[c] + 0.011202 prot_Q6CHD8[c] + 0.0021186 prot_W0TYM5[c] => ADP[c] + 2 H+_p+1[go] + phosphate[c] 	YALI0A11143g and YALI0E11355g and YALI0D00583g and YALI0E08617g and YALI0A09900g and YALI0F15631g and YALI0E16192g and YALI0F24475g and YALI0F16181g and YALI0E31471g and YALI0E27346g and YALI0E09933g	  0.00	1000.00	  0.00
1085_EXP_2	H+_p+1[c] + ATP[c] + H2O[c] + 0.015158 prot_Q6BZT1[c] + 0.0033691 prot_Q6C2A7[c] => ADP[c] + 2 H+_p+1[go] + phosphate[c] 	YALI0F31119g and YALI0F09405g	  0.00	1000.00	  0.00
1086_EXP_1	H+_p+1[c] + ATP[c] + H2O[c] + 0.002753 prot_Q6C0I1[c] + 0.0065907 prot_Q6C1H5[c] + 0.0042314 prot_Q6C1K0[c] + 0.0027387 prot_Q6C3X5[c] + 0.0094993 prot_Q6C4E9[c] + 0.0023022 prot_Q6C5Q2[c] + 0.015474 prot_Q6C6F6[c] + 0.0081993 prot_Q6C6K9[c] + 0.0048077 prot_Q6CAR5[c] + 0.0071662 prot_Q6CH91[c] + 0.011202 prot_Q6CHD8[c] + 0.0021186 prot_W0TYM5[c] => 2 H+_p+1[va] + ADP[c] + phosphate[c] 	YALI0A11143g and YALI0E11355g and YALI0D00583g and YALI0E08617g and YALI0A09900g and YALI0F15631g and YALI0E16192g and YALI0F24475g and YALI0F16181g and YALI0E31471g and YALI0E27346g and YALI0E09933g	  0.00	  0.00	  0.00
1086_EXP_2	H+_p+1[c] + ATP[c] + H2O[c] + 0.015158 prot_Q6BZT1[c] + 0.0033691 prot_Q6C2A7[c] => 2 H+_p+1[va] + ADP[c] + phosphate[c] 	YALI0F31119g and YALI0F09405g	  0.00	  0.00	  0.00
