UniProt_Entry	PARe.1	PARe.2	PARe.3	PARn.1	PARn.2	PARn.3	CARe.1	CARe.2	CARe.3	CARn.1	CARn.2	CARn.3	OBEe.1	OBEe.2	OBEe.3	OBEn.1	OBEn.2	OBEn.3
Q6C8L7	0.000945255	0.000662942	NA	NA	0.000986057	0.00121857	0.00105512	NA	NA	0.002030142	0.001478633	0.001322886	NA	0.000876462	NA	0.001275776	0.003133596	0.003268323
A0A1D8N5M9	0.001509588	0.001667601	0.001554883	0.002160674	0.001806486	0.001956179	0.000986764	0.001385559	0.001503692	0.002327291	0.002088307	0.001427813	0.001185801	0.001195352	0.001233629	0.002061981	0.001845885	0.002209241
Q6CGB7	0.010290167	0.010502621	0.011081612	0.004253148	0.003693319	0.005305325	0.011123777	0.011549218	0.011690497	0.004822053	0.004322853	0.004727094	0.011732639	0.011301754	0.009672472	0.004063243	0.003768796	0.004872594
Q6CGC2	0.005713101	0.004841671	0.004722509	0.006476343	0.003908616	NA	0.003623083	0.004765232	0.005524466	0.002087008	NA	NA	0.004587437	0.006080407	0.007411276	NA	0.006503599	NA
Q6CGC7	0.005017957	0.004758847	0.004612727	0.001725014	0.002154958	0.001729114	0.002736179	0.003072681	0.002851099	0.002055552	0.001838026	0.001759888	0.003505814	0.003298868	0.003593165	0.001694168	0.002047361	0.002054038
Q6CGC8	0.006649368	0.006614778	0.007229722	0.006703108	0.006938069	0.006493936	0.006544489	0.007246855	0.006874789	0.006643895	0.005936059	0.005748531	0.008904478	0.007618992	0.008326316	0.007375136	0.004755816	0.006039611
Q6CGC9	0.007337167	0.007025792	0.006555198	0.00768384	0.004503816	0.005375162	0.004073692	0.006803324	0.005455777	0.005097254	0.004731632	0.0045458	0.00499061	0.007836976	0.005542342	0.005766637	0.004112469	0.0054553
Q6C2Q9	0.16043634	0.173841901	0.192076354	0.050805171	0.041056723	0.040610608	0.194851486	0.19495473	0.214215202	0.049684952	0.05048929	0.065661528	0.297452733	0.294461005	0.280907179	0.085751117	0.081256957	0.080113733
Q6C2Q6	0.005263126	0.003938454	0.004218332	0.007961584	0.004656457	0.008990165	0.001436496	0.001692767	0.001043943	0.007405569	0.008325828	0.004469691	0.003526522	0.003145512	0.003684893	0.002669064	0.002955701	0.004634514
Q6C2Q4	0.015648186	0.017435093	0.024871231	0.002259595	0.001593393	0.002621726	0.012752482	0.016634541	0.01532607	0.001544459	0.002093757	0.004300115	0.023970937	0.020818301	0.020432095	0.001076115	0.001291538	0.001696227
Q6C2P9	0.00211469	0.001847166	0.002113844	0.002153728	0.002484216	0.003147229	0.002214647	0.00270426	0.001821601	0.003893966	0.002453351	0.001945236	0.001292604	0.002060133	0.001594402	NA	0.002248675	0.000806887
Q6C023	0.017604593	0.017623677	0.019605916	0.012930288	0.012882179	0.012821066	0.016947018	0.018340748	0.017807634	0.011307207	0.01177823	0.009938998	0.019833044	0.018880759	0.017589934	0.008065706	0.0100042	0.012152918
Q6C020	0.000566982	NA	NA	0.00202126	0.002574667	0.001847182	NA	NA	NA	0.00230824	0.001357423	0.001050729	NA	NA	NA	0.001569685	0.001996404	0.001794071
Q6C019	0.128781148	0.142803345	0.143757054	0.037307028	0.051893549	0.032580878	0.147364877	0.135315673	0.142478911	0.038555573	0.033479162	0.043409623	0.135348312	0.122312441	0.101618476	0.04193954	0.038923174	0.03535837
Q6C017	0.027008819	0.025747039	0.02591899	0.026593756	0.020834299	0.019806996	0.021334916	0.023894065	0.022748689	0.018620393	0.018930578	0.015368317	0.017424505	0.021176914	0.019544718	0.009845163	0.015046415	0.011393485
Q6C013	0.033383755	0.033870591	0.13375369	NA	0.001913119	0.00333804	0.001623823	0.011353188	NA	0.001953804	0.004205721	0.001259953	NA	0.025607274	NA	NA	NA	0.002297789
Q6C011	0.002199322	0.002083986	0.00194431	0.001152832	0.000920093	0.001221295	0.003211819	0.00153677	0.001570252	0.002240331	0.001527518	0.001836072	0.00268838	0.002350506	0.002327562	0.000776056	0.001671217	0.001385904
Q6C8Q4	0.004702358	0.004918846	0.005044896	NA	NA	NA	0.004763818	0.005724194	0.006684478	NA	NA	NA	0.004428851	0.003632131	0.004495979	NA	NA	NA
A0A1D8NF17	0.081191488	0.082604218	0.084765358	0.024350765	0.023817277	0.023543758	0.095721233	0.093855939	0.095313293	0.023958761	0.02446424	0.033085947	0.078650676	0.075826872	0.075772541	0.016561375	0.019929647	0.017853085
